UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Machine failure
355,M00355,L,298.88,312.52,1444.0,41.0,64,0,0,0,0,0,0
356,M00356,M,299.96,312.28,1530.0,25.04,12,0,0,0,0,0,0
357,M00357,M,296.87,310.02,1640.0,41.16,182,0,0,0,0,0,0
358,M00358,M,300.46,305.23,1664.0,30.67,81,0,0,0,0,0,0
359,M00359,L,301.93,311.03,1551.0,35.58,223,1,0,0,0,0,1
360,M00360,M,300.59,305.56,1605.0,50.45,217,0,0,1,0,0,1
361,M00361,H,296.82,312.94,1512.0,44.72,32,0,0,0,0,0,0
362,M00362,L,299.75,310.34,1379.0,45.68,229,1,0,0,0,0,1
363,M00363,L,301.48,312.0,1453.0,22.29,35,0,0,0,0,0,0
364,M00364,L,296.24,308.2,1503.0,58.37,122,0,0,1,0,0,1
365,M00365,M,297.85,306.89,1494.0,28.08,118,0,0,0,0,0,0
366,M00366,L,301.75,310.52,1161.0,55.29,239,1,0,0,0,0,1
367,M00367,M,300.54,309.93,1428.0,50.22,164,0,0,0,0,0,0
368,M00368,M,300.82,309.02,1510.0,45.77,218,0,0,0,0,0,0
369,M00369,L,303.72,310.17,1449.0,31.45,148,0,0,0,0,0,0
370,M00370,H,300.94,315.53,1456.0,41.52,206,0,0,0,0,0,0
371,M00371,M,301.32,311.67,1588.0,35.29,213,0,0,0,0,0,0
372,M00372,L,305.42,312.1,1306.0,40.29,214,0,0,0,0,0,0
373,M00373,L,299.57,311.69,1207.0,37.5,102,0,0,0,0,0,0
374,M00374,L,298.4,312.96,1437.0,19.61,95,0,0,0,0,0,0
375,M00375,L,300.86,309.62,1638.0,51.22,246,1,0,1,0,0,1
376,M00376,L,300.88,305.89,1804.0,39.19,189,0,0,0,0,0,0
377,M00377,H,298.95,309.62,1641.0,35.15,229,1,0,0,0,0,1
378,M00378,L,297.94,311.62,1236.0,34.4,144,0,0,0,0,0,0
379,M00379,L,304.62,308.06,1458.0,43.58,232,1,0,0,0,0,1
380,M00380,M,300.65,309.65,1546.0,31.06,179,0,0,0,0,0,0
381,M00381,M,298.54,308.62,1532.0,17.45,185,0,0,0,0,0,0
382,M00382,H,301.83,313.0,1597.0,44.07,44,0,0,0,0,0,0
383,M00383,M,299.78,311.5,1335.0,45.19,141,0,0,0,0,0,0
384,M00384,L,299.49,311.3,1512.0,38.0,182,0,0,0,0,0,0
385,M00385,L,301.12,311.24,1576.0,28.52,190,0,0,0,0,0,0
386,M00386,H,297.42,309.93,1649.0,40.89,239,1,0,0,0,0,1
387,M00387,M,300.71,310.4,1355.0,25.35,81,0,0,0,0,0,0
388,M00388,H,303.83,307.63,1438.0,29.73,75,0,0,0,0,0,0
389,M00389,L,300.93,305.63,1013.0,32.49,242,1,0,0,0,0,1
390,M00390,H,299.25,310.3,1388.0,48.44,246,1,0,0,0,0,1
391,M00391,M,298.99,310.65,1406.0,36.37,44,0,0,0,0,0,0
392,M00392,L,299.18,312.42,1316.0,35.52,94,0,0,0,0,0,0
393,M00393,M,299.49,313.14,1530.0,59.55,237,1,0,1,0,0,1
394,M00394,M,299.24,313.14,1490.0,43.52,49,0,0,0,0,0,0
395,M00395,L,301.83,308.0,1093.0,43.39,195,0,0,0,0,0,0
396,M00396,L,296.53,309.3,1539.0,36.3,28,0,0,0,0,0,0
397,M00397,H,301.72,310.96,1333.0,34.04,44,0,0,0,0,0,0
398,M00398,L,299.24,315.06,1587.0,18.14,196,0,0,0,0,0,0
399,M00399,L,300.75,312.96,1269.0,49.69,151,0,0,0,0,0,0
400,M00400,L,297.75,312.24,1505.0,44.48,138,0,0,0,0,0,0
401,M00401,L,302.66,309.22,1449.0,38.21,214,0,0,0,0,0,0
402,M00402,H,302.49,308.23,1555.0,38.63,76,0,0,0,0,0,0
403,M00403,M,301.92,311.58,1522.0,47.36,125,0,0,0,0,0,0
404,M00404,L,296.97,307.8,1454.0,24.45,152,0,0,0,0,0,0
405,M00405,H,301.66,309.52,1223.0,34.1,184,0,0,0,0,0,0
406,M00406,H,300.81,309.77,1234.0,28.64,83,0,0,0,0,0,0
407,M00407,L,296.79,313.19,1395.0,57.72,158,0,0,1,0,0,1
408,M00408,H,299.95,309.29,1499.0,48.76,112,0,0,0,0,0,0
409,M00409,L,300.73,305.12,1391.0,17.97,135,0,0,0,0,0,0
410,M00410,H,301.11,311.01,1613.0,24.86,215,0,0,0,0,0,0
411,M00411,M,300.35,308.6,1450.0,38.68,98,0,0,0,0,0,0
412,M00412,M,300.58,310.09,1326.0,35.28,167,0,0,0,0,0,0
413,M00413,L,302.95,309.83,1450.0,26.76,235,1,0,0,0,0,1
414,M00414,H,302.45,309.45,1541.0,59.45,190,0,0,1,0,0,1
415,M00415,L,294.27,311.58,1558.0,43.13,247,1,0,0,0,0,1
416,M00416,L,299.37,306.93,1838.0,44.75,145,0,0,1,0,0,1
417,M00417,L,299.67,308.97,1380.0,33.08,70,0,0,0,0,0,0
418,M00418,M,296.5,311.37,1487.0,47.22,247,1,0,0,0,0,1
419,M00419,L,300.19,308.77,1577.0,36.2,161,0,0,0,0,0,0
420,M00420,H,302.5,306.78,1496.0,37.17,60,0,0,0,0,0,0
421,M00421,M,297.83,311.34,1410.0,46.11,79,0,0,0,0,0,0
422,M00422,L,300.67,312.25,1221.0,23.71,65,0,0,0,0,0,0
423,M00423,L,298.17,309.91,1408.0,55.97,208,0,0,0,0,0,0
424,M00424,L,298.66,306.08,1307.0,41.82,23,0,0,0,0,0,0
425,M00425,M,302.95,311.41,1189.0,52.81,184,0,0,0,0,0,0
426,M00426,H,298.91,306.68,1357.0,29.25,138,0,0,0,0,0,0
427,M00427,L,300.92,310.62,1312.0,30.77,18,0,0,0,0,0,0
428,M00428,H,296.26,308.23,1605.0,28.38,153,0,0,0,0,0,0
429,M00429,L,303.72,307.68,1608.0,42.5,188,0,0,0,0,0,0
430,M00430,H,301.21,309.12,1337.0,40.66,181,0,0,0,0,0,0
431,M00431,H,299.64,309.63,1453.0,35.36,132,0,0,0,0,0,0
432,M00432,M,301.15,308.71,1166.0,29.86,83,0,0,0,0,0,0
433,M00433,M,297.18,311.18,1411.0,27.33,40,0,0,0,0,0,0
434,M00434,H,302.37,309.11,1572.0,39.52,3,0,0,0,0,0,0
435,M00435,L,299.35,311.96,1648.0,35.34,89,0,0,0,0,0,0
436,M00436,L,299.59,310.56,1372.0,33.14,158,0,0,0,0,0,0
437,M00437,L,299.02,308.6,1689.0,55.47,9,0,0,1,0,0,1
438,M00438,M,298.84,308.27,1227.0,39.18,249,1,0,0,0,0,1
439,M00439,M,301.39,306.71,1275.0,52.7,146,0,0,0,0,0,0
440,M00440,M,300.51,310.58,1628.0,34.67,73,0,0,0,0,0,0
441,M00441,H,301.3,309.29,1801.0,42.45,240,1,0,0,0,0,1
442,M00442,L,299.98,305.26,1589.0,39.45,45,0,0,0,0,0,0
443,M00443,M,301.03,308.93,1493.0,23.02,239,1,0,0,0,0,1
444,M00444,L,299.16,308.2,1105.0,54.28,70,0,0,0,0,0,0
445,M00445,L,304.46,313.15,1136.0,38.65,94,0,1,0,0,0,1
446,M00446,M,296.86,306.59,1523.0,47.46,106,0,0,0,0,0,0
447,M00447,H,302.52,307.12,1436.0,32.48,248,1,0,0,0,0,1
448,M00448,M,302.74,312.22,1301.0,38.35,62,0,0,0,0,0,0
449,M00449,L,298.3,312.71,1512.0,31.33,243,1,0,0,0,0,1
450,M00450,M,304.46,308.51,1521.0,52.36,86,0,0,0,0,0,0
451,M00451,L,301.99,308.74,1670.0,43.11,71,0,0,0,0,0,0
452,M00452,H,301.94,311.23,1525.0,43.67,159,0,0,0,0,0,0
453,M00453,M,300.06,305.35,1721.0,53.58,173,0,0,1,0,0,1
454,M00454,L,299.57,306.28,1501.0,51.56,86,0,0,0,0,0,0
455,M00455,L,299.58,309.44,1479.0,47.65,33,0,0,0,0,0,0
456,M00456,L,300.78,313.1,1692.0,25.78,99,0,0,0,0,0,0
457,M00457,H,302.8,309.13,1324.0,33.04,135,0,0,0,0,0,0
458,M00458,L,300.36,310.2,2007.0,29.96,10,0,0,0,0,0,0
459,M00459,M,298.18,312.27,1568.0,47.28,19,0,0,0,0,0,0
460,M00460,M,301.65,314.21,1569.0,41.71,229,1,0,0,0,0,1
461,M00461,M,301.84,308.85,1595.0,26.09,8,0,0,0,0,0,0
462,M00462,L,301.31,309.97,1838.0,38.11,101,0,0,0,0,0,0
463,M00463,H,301.49,313.64,1643.0,25.06,190,0,0,0,0,0,0
464,M00464,L,299.46,306.96,1211.0,39.47,82,0,0,0,0,0,0
465,M00465,M,298.14,312.06,1753.0,23.45,123,0,0,0,0,0,0
466,M00466,M,298.26,307.96,1439.0,45.29,21,0,0,0,0,0,0
467,M00467,M,296.73,310.2,1519.0,43.78,198,0,0,0,0,0,0
468,M00468,H,300.47,309.51,1270.0,59.08,158,0,0,0,0,0,0
469,M00469,L,299.83,308.08,1595.0,48.48,212,0,0,0,0,0,0
470,M00470,M,299.12,308.03,1383.0,35.77,215,0,0,0,0,0,0
471,M00471,L,294.09,310.55,1518.0,48.18,87,0,0,0,0,0,0
472,M00472,L,297.51,311.99,1449.0,26.02,10,0,0,0,0,0,0
473,M00473,L,302.24,309.74,1847.0,30.38,86,0,0,0,0,0,0
474,M00474,L,298.67,310.14,1857.0,43.33,36,0,0,1,0,0,1
475,M00475,L,300.72,311.14,1508.0,18.42,133,0,0,0,0,0,0
476,M00476,L,297.22,308.06,1512.0,39.63,36,0,0,0,0,0,0
477,M00477,L,302.88,311.48,1433.0,29.8,230,1,0,0,0,0,1
478,M00478,M,299.71,311.64,1699.0,41.01,150,0,0,0,0,0,0
479,M00479,M,300.58,315.21,1441.0,29.22,63,0,0,0,0,0,0
480,M00480,L,304.65,309.25,1424.0,44.24,230,1,0,0,0,0,1
481,M00481,L,303.03,309.08,1676.0,40.19,192,0,0,0,0,0,0
482,M00482,L,299.39,311.54,1403.0,54.0,109,0,0,0,0,0,0
483,M00483,M,298.81,311.64,1493.0,40.07,36,0,0,0,0,0,0
484,M00484,L,299.35,308.93,1215.0,32.31,85,0,0,0,0,0,0
485,M00485,L,301.02,309.19,1627.0,37.53,146,0,0,0,0,0,0
486,M00486,L,299.79,311.08,1849.0,26.56,191,0,0,0,0,0,0
487,M00487,L,299.21,308.34,1630.0,44.06,65,0,0,0,0,0,0
488,M00488,L,302.93,309.18,1763.0,45.9,185,0,0,1,0,0,1
489,M00489,M,299.77,310.18,1348.0,64.69,70,0,0,1,0,0,1
490,M00490,M,304.6,311.99,1543.0,33.78,61,0,0,0,0,0,0
491,M00491,M,300.18,308.79,1330.0,37.32,111,0,0,0,0,0,0
492,M00492,M,303.57,306.32,1459.0,34.24,40,0,0,0,0,0,0
493,M00493,M,300.71,306.17,1639.0,42.12,101,0,0,0,0,0,0
494,M00494,L,301.93,307.48,1518.0,43.82,89,0,0,0,0,0,0
495,M00495,M,298.55,307.37,1246.0,39.47,70,0,0,0,0,0,0
496,M00496,M,298.29,309.69,1263.0,50.86,193,0,0,0,0,0,0
497,M00497,L,300.92,307.62,1251.0,33.83,82,0,0,0,0,0,0
498,M00498,M,301.98,308.59,1588.0,49.86,173,0,0,0,0,0,0
499,M00499,L,300.08,308.45,1872.0,45.38,180,0,0,1,0,0,1
500,M00500,M,297.43,309.12,1745.0,39.88,166,0,0,0,0,0,0
501,M00501,M,297.28,312.65,1159.0,36.85,67,0,0,0,0,0,0
502,M00502,H,297.15,311.32,1756.0,64.27,207,0,0,1,1,0,1
503,M00503,H,296.46,310.03,1669.0,31.83,59,0,0,0,0,0,0
504,M00504,M,300.22,309.08,1222.0,42.98,69,0,0,0,0,0,0
505,M00505,M,302.25,309.13,1445.0,32.5,218,0,0,0,0,0,0
506,M00506,M,299.97,310.66,1697.0,57.86,84,0,0,1,0,0,1
507,M00507,L,295.48,311.17,1599.0,48.87,174,0,0,0,0,0,0
508,M00508,H,299.62,308.18,1264.0,33.22,10,0,0,0,0,0,0
509,M00509,L,299.67,310.07,1610.0,45.13,153,0,0,0,0,0,0
510,M00510,L,304.19,305.94,1115.0,42.58,217,0,0,0,0,0,0
511,M00511,L,297.09,310.42,1460.0,34.83,177,0,0,0,0,0,0
512,M00512,H,299.22,311.52,1705.0,47.58,145,0,0,1,0,0,1
513,M00513,L,303.41,309.44,1503.0,43.89,212,0,0,0,0,0,0
514,M00514,L,300.9,313.63,1410.0,42.16,74,0,0,0,0,0,0
515,M00515,L,301.13,308.24,1660.0,39.58,94,0,0,0,0,0,0
516,M00516,L,300.23,310.43,1675.0,44.31,17,0,0,0,0,0,0
517,M00517,L,300.66,309.93,1736.0,42.29,174,0,0,0,0,0,0
518,M00518,M,301.56,309.8,1657.0,40.59,180,0,0,0,0,0,0
519,M00519,L,298.38,309.77,1695.0,33.59,187,0,0,0,0,0,0
520,M00520,H,301.76,310.21,1632.0,56.94,187,0,0,1,0,0,1
521,M00521,H,297.25,311.7,1548.0,29.5,31,0,0,0,0,0,0
522,M00522,L,300.66,312.76,1516.0,44.28,166,0,0,0,0,0,0
523,M00523,L,300.36,310.0,1457.0,36.8,190,0,0,0,0,0,0
524,M00524,M,298.77,311.63,1282.0,57.6,50,0,0,0,0,0,0
525,M00525,L,299.95,308.6,1328.0,30.97,119,0,0,0,0,0,0
526,M00526,L,298.75,311.53,1449.0,32.65,228,1,0,0,0,0,1
527,M00527,H,297.86,308.48,1543.0,30.3,103,0,0,0,0,0,0
528,M00528,H,299.29,312.18,1759.0,43.23,188,0,0,0,0,0,0
529,M00529,M,297.79,314.42,1492.0,26.27,132,0,0,0,0,0,0
530,M00530,L,300.65,309.76,1681.0,35.21,164,0,0,0,0,0,0
531,M00531,M,297.7,305.61,1694.0,18.48,156,0,0,0,0,0,0
532,M00532,M,301.42,308.9,1458.0,42.4,162,0,0,0,0,1,1
533,M00533,L,297.64,312.46,1607.0,35.0,194,0,0,0,0,0,0
534,M00534,M,298.87,311.11,1456.0,25.12,226,1,0,0,0,0,1
535,M00535,L,298.75,310.5,1738.0,50.86,73,0,0,1,0,0,1
536,M00536,L,302.65,312.02,1614.0,26.92,232,1,0,0,0,0,1
537,M00537,M,300.66,310.97,1286.0,47.97,156,0,0,0,0,0,0
538,M00538,L,299.58,312.44,1529.0,32.99,148,0,0,0,0,0,0
539,M00539,L,301.0,311.84,1797.0,56.02,81,0,0,1,0,0,1
540,M00540,H,295.79,313.04,1467.0,47.5,104,0,0,0,0,0,0
541,M00541,H,299.91,310.72,1581.0,29.92,162,0,0,0,0,0,0
542,M00542,M,304.0,311.81,1598.0,30.83,90,0,0,0,0,0,0
543,M00543,H,300.26,309.39,1313.0,46.06,71,0,0,0,0,0,0
544,M00544,H,300.14,308.8,1592.0,37.38,204,0,0,0,0,0,0
545,M00545,L,301.1,313.41,1249.0,38.31,103,0,0,0,0,0,0
546,M00546,L,301.79,310.43,1387.0,52.72,161,0,0,0,0,0,0
547,M00547,L,296.01,311.61,1694.0,32.51,7,0,0,0,0,0,0
548,M00548,L,296.64,310.25,1564.0,40.91,19,0,0,0,0,0,0
549,M00549,M,300.42,308.83,1445.0,49.55,212,0,0,0,0,0,0
550,M00550,L,298.57,310.02,1580.0,48.09,35,0,0,0,0,0,0
551,M00551,L,302.62,312.87,1489.0,38.4,198,0,0,0,0,0,0
552,M00552,L,299.37,311.11,1502.0,37.11,225,1,0,0,0,0,1
553,M00553,L,296.13,306.58,1618.0,22.61,120,0,0,0,0,0,0
554,M00554,H,297.46,309.57,1369.0,29.44,221,1,0,0,0,0,1
555,M00555,L,294.5,313.56,1507.0,43.18,106,0,0,0,0,0,0
556,M00556,L,299.53,309.57,1444.0,38.62,237,1,0,0,0,0,1
557,M00557,L,299.62,306.4,1215.0,40.75,59,0,0,0,0,0,0
558,M00558,L,299.15,313.79,1334.0,50.39,106,0,0,0,0,0,0
559,M00559,M,302.16,311.36,1782.0,28.13,97,0,0,0,0,0,0
560,M00560,L,302.4,309.86,1569.0,37.64,196,0,0,0,0,0,0
561,M00561,L,299.66,309.26,1262.0,41.89,10,0,0,0,0,0,0
562,M00562,L,295.73,312.16,1223.0,32.96,207,0,0,0,0,0,0
563,M00563,H,301.23,308.92,1480.0,54.31,5,0,0,1,0,0,1
564,M00564,M,301.11,312.3,1781.0,49.09,78,0,0,1,0,0,1
565,M00565,M,300.62,311.08,1466.0,42.9,149,0,0,0,0,0,0
566,M00566,M,301.96,310.49,1735.0,57.94,36,0,0,1,0,0,1
567,M00567,M,297.67,310.29,1563.0,25.01,122,0,0,0,0,0,0
568,M00568,L,304.02,309.65,1585.0,39.92,249,1,0,0,0,0,1
569,M00569,L,298.08,312.09,1260.0,43.66,205,0,0,0,0,0,0
570,M00570,M,301.5,308.27,1669.0,30.85,7,0,0,0,0,0,0
571,M00571,L,296.63,306.76,1440.0,43.01,147,0,0,0,0,1,1
572,M00572,H,298.14,311.23,1655.0,28.93,149,0,0,0,0,0,0
573,M00573,L,303.03,311.26,1353.0,46.91,17,0,0,0,0,0,0
574,M00574,M,299.48,310.96,1532.0,50.58,162,0,0,0,0,0,0
575,M00575,H,301.68,310.82,1563.0,42.72,130,0,0,0,0,0,0
576,M00576,M,300.47,309.36,1472.0,21.47,170,0,0,0,0,0,0
577,M00577,H,299.79,311.57,1573.0,30.33,74,0,0,0,0,0,0
578,M00578,M,302.73,309.91,1452.0,45.65,63,0,0,0,0,0,0
579,M00579,H,299.53,309.03,1383.0,40.21,183,0,0,0,0,0,0
580,M00580,L,296.44,309.38,1789.0,13.06,180,0,0,0,0,0,0
581,M00581,L,298.39,314.04,1689.0,52.43,40,0,0,1,0,0,1
582,M00582,M,301.1,306.53,1363.0,41.37,54,0,0,0,0,0,0
583,M00583,L,300.79,311.0,1602.0,31.81,146,0,0,0,0,0,0
584,M00584,L,296.87,306.64,1366.0,49.95,207,0,0,0,0,0,0
585,M00585,H,298.55,309.78,1287.0,33.22,50,0,0,0,0,0,0
586,M00586,M,298.84,309.13,1686.0,33.12,54,0,0,0,0,0,0
587,M00587,L,299.27,305.83,1193.0,43.58,201,0,0,0,0,0,0
588,M00588,L,297.25,310.78,1667.0,57.81,174,0,0,1,0,0,1
589,M00589,L,298.74,309.24,1455.0,56.24,225,1,0,1,0,0,1
590,M00590,L,298.54,305.8,1462.0,43.6,195,0,0,0,0,0,0
591,M00591,H,301.54,311.68,1574.0,44.62,238,1,0,0,0,0,1
592,M00592,L,301.62,312.87,1605.0,47.91,47,0,0,0,0,0,0
593,M00593,L,299.71,312.98,1351.0,27.43,67,0,0,0,0,0,0
594,M00594,M,299.22,310.72,1629.0,46.44,59,0,0,0,0,0,0
595,M00595,L,300.28,310.09,1520.0,32.66,13,0,0,0,0,0,0
596,M00596,L,298.37,312.66,1274.0,43.18,194,0,0,0,0,0,0
597,M00597,M,297.71,313.36,1469.0,37.73,165,0,0,0,0,0,0
598,M00598,M,298.12,312.27,1749.0,45.01,21,0,0,0,0,0,0
599,M00599,H,298.73,308.12,1802.0,41.18,49,0,0,0,0,0,0
600,M00600,M,297.67,310.4,1629.0,9.27,47,0,0,0,0,0,0
601,M00601,L,300.32,310.88,1286.0,41.79,100,0,0,0,0,0,0
602,M00602,M,301.46,306.38,1588.0,46.42,113,0,0,0,0,0,0
603,M00603,H,296.83,310.94,1653.0,44.46,72,0,0,0,0,0,0
604,M00604,M,300.05,314.55,1631.0,38.97,232,1,0,0,0,0,1
605,M00605,H,299.56,311.28,1641.0,56.42,53,0,0,1,0,0,1
606,M00606,M,300.68,312.95,1565.0,43.11,140,0,0,0,0,0,0
607,M00607,H,299.97,310.37,1487.0,44.38,109,0,0,0,0,0,0
608,M00608,L,297.09,309.85,1390.0,50.44,96,0,0,0,0,0,0
609,M00609,M,297.48,310.76,1158.0,43.63,206,0,0,0,0,0,0
610,M00610,L,300.06,308.37,1561.0,31.02,244,1,0,0,0,0,1
611,M00611,M,302.06,308.07,1533.0,15.62,1,0,0,0,0,0,0
612,M00612,M,295.57,312.53,1600.0,35.23,115,0,0,0,0,0,0
613,M00613,H,300.69,312.74,1259.0,47.61,29,0,0,0,0,0,0
614,M00614,H,302.38,308.02,1616.0,36.47,108,0,0,0,0,0,0
615,M00615,L,299.69,311.94,1870.0,48.01,154,0,0,1,0,0,1
616,M00616,M,301.1,309.83,1514.0,41.49,102,0,0,0,0,0,0
617,M00617,M,298.59,310.68,1489.0,52.88,77,0,0,0,0,0,0
618,M00618,L,299.76,310.92,1556.0,37.05,78,0,0,0,0,0,0
619,M00619,L,296.76,311.99,1866.0,44.68,74,0,0,1,0,0,1
620,M00620,L,295.31,310.17,1316.0,45.06,81,0,0,0,0,0,0
621,M00621,M,301.89,312.82,1537.0,55.02,93,0,0,1,0,0,1
622,M00622,L,298.03,310.62,1356.0,22.93,171,0,0,0,0,0,0
623,M00623,H,299.09,311.25,1402.0,35.42,24,0,0,0,0,0,0
624,M00624,L,297.23,308.33,1491.0,48.49,10,0,0,0,0,0,0
625,M00625,H,297.18,314.32,1743.0,55.46,129,0,0,1,0,0,1
626,M00626,L,299.65,310.94,1824.0,42.4,170,0,0,0,0,0,0
627,M00627,M,298.54,311.43,1581.0,37.07,64,0,0,0,0,0,0
628,M00628,L,300.76,306.78,1432.0,47.57,50,0,0,0,0,0,0
629,M00629,M,300.91,308.35,1949.0,48.69,156,0,0,1,0,0,1
630,M00630,H,300.64,312.48,1423.0,36.4,96,0,0,0,0,0,0
631,M00631,H,300.48,310.57,1397.0,43.3,184,0,0,0,0,0,0
632,M00632,H,303.16,306.17,1181.0,51.81,36,0,0,0,0,0,0
633,M00633,L,297.86,312.08,1751.0,58.9,30,0,0,1,0,0,1
634,M00634,L,299.89,308.91,1674.0,47.43,138,0,0,0,0,0,0
635,M00635,L,302.27,312.82,1935.0,40.44,98,0,0,0,0,0,0
636,M00636,L,302.53,309.82,1250.0,39.46,182,0,0,0,0,0,0
637,M00637,M,297.16,310.41,1762.0,45.57,126,0,0,1,0,0,1
638,M00638,M,299.38,312.36,1513.0,38.84,88,0,0,0,0,0,0
639,M00639,M,302.72,308.21,1645.0,41.9,39,0,0,0,0,0,0
640,M00640,H,301.02,308.01,1203.0,29.42,40,0,0,0,0,0,0
641,M00641,M,300.39,309.61,1764.0,52.97,188,0,0,1,0,0,1
642,M00642,H,299.56,311.65,1642.0,28.6,56,0,0,0,0,0,0
643,M00643,L,299.23,307.34,1493.0,35.68,125,0,0,0,0,0,0
644,M00644,L,300.58,306.66,1616.0,40.98,204,0,0,0,0,0,0
645,M00645,M,299.5,311.65,1362.0,59.91,224,1,0,1,0,0,1
646,M00646,H,299.91,308.79,1396.0,35.77,66,0,0,0,0,0,0
647,M00647,L,300.16,309.22,1417.0,33.34,27,0,0,0,0,0,0
648,M00648,M,298.64,306.29,1167.0,34.49,193,0,0,0,0,0,0
649,M00649,M,301.06,308.64,1655.0,56.59,171,0,0,1,0,0,1
650,M00650,L,305.83,309.98,1714.0,11.88,82,0,0,0,0,0,0
651,M00651,L,296.45,311.86,1374.0,29.97,148,0,0,0,0,0,0
652,M00652,H,300.65,308.46,1563.0,67.31,47,0,0,1,0,0,1
653,M00653,M,298.48,313.31,1452.0,45.91,175,0,0,0,0,0,0
654,M00654,L,301.15,308.63,1559.0,28.94,181,0,0,0,0,0,0
655,M00655,H,300.09,308.63,1387.0,39.58,74,0,0,0,0,0,0
656,M00656,L,301.52,313.07,1341.0,40.67,117,0,0,0,0,0,0
657,M00657,H,302.35,310.42,1689.0,48.46,83,0,0,1,0,0,1
658,M00658,L,300.38,308.9,1489.0,58.4,7,0,0,1,0,0,1
659,M00659,M,302.26,309.69,1864.0,43.89,31,0,0,1,0,0,1
660,M00660,L,295.31,312.71,1508.0,34.6,239,1,0,0,0,0,1
661,M00661,L,303.18,312.93,1333.0,47.87,114,0,0,0,0,0,0
662,M00662,H,300.75,308.37,1721.0,33.02,36,0,0,0,0,0,0
663,M00663,L,302.16,309.92,1614.0,29.67,11,0,0,0,0,0,0
664,M00664,L,297.56,310.18,1631.0,22.4,88,0,0,0,0,0,0
665,M00665,L,298.34,308.03,1714.0,24.35,245,1,0,0,0,0,1
666,M00666,M,300.29,309.89,1382.0,31.04,96,0,0,0,0,0,0
667,M00667,H,299.97,310.01,1477.0,28.22,249,1,0,0,0,0,1
668,M00668,H,300.57,312.28,1469.0,43.13,122,0,0,0,0,0,0
669,M00669,L,302.17,312.41,1268.0,28.01,190,0,0,0,0,0,0
670,M00670,L,296.47,309.34,1453.0,8.56,196,0,0,0,0,0,0
671,M00671,L,301.95,309.57,1741.0,29.56,7,0,0,0,0,0,0
672,M00672,M,300.02,311.33,1543.0,35.28,1,0,0,0,0,0,0
673,M00673,H,299.59,308.83,1258.0,33.95,230,1,0,0,0,0,1
674,M00674,M,297.06,311.18,1220.0,55.2,233,1,0,0,0,0,1
675,M00675,M,301.01,309.82,1800.0,33.86,33,0,0,0,0,0,0
676,M00676,L,295.17,308.06,1484.0,48.81,161,0,0,0,0,0,0
677,M00677,H,301.3,308.09,1383.0,39.81,230,1,0,0,0,0,1
678,M00678,L,297.02,312.89,1451.0,39.58,237,1,0,0,0,0,1
679,M00679,L,300.11,309.69,1234.0,31.65,74,0,0,0,0,0,0
680,M00680,L,299.76,313.28,1756.0,39.41,204,0,0,0,0,0,0
681,M00681,L,302.34,308.97,1429.0,32.35,161,0,0,0,0,0,0
682,M00682,L,299.64,310.58,1746.0,41.7,231,1,0,0,0,0,1
683,M00683,L,298.61,314.79,1509.0,37.64,36,0,0,0,0,0,0
684,M00684,L,298.99,307.89,1757.0,30.55,150,0,0,0,0,0,0
685,M00685,M,302.55,306.2,1546.0,49.92,6,0,0,0,0,0,0
686,M00686,L,301.07,312.57,1654.0,44.27,89,0,0,0,0,0,0
687,M00687,L,299.23,308.35,1629.0,35.52,2,0,0,0,0,0,0
688,M00688,H,299.53,309.96,1612.0,41.45,110,0,0,0,0,0,0
689,M00689,M,296.87,308.83,1563.0,39.16,202,0,0,0,0,0,0
690,M00690,M,300.78,310.54,1458.0,31.32,164,0,0,0,0,0,0
691,M00691,L,296.48,308.1,1845.0,40.7,79,0,0,0,0,0,0
692,M00692,H,301.5,309.64,1337.0,33.79,106,0,0,0,0,0,0
693,M00693,L,300.26,310.9,1501.0,30.55,91,0,0,0,0,0,0
694,M00694,L,304.77,307.98,1503.0,23.77,182,0,0,0,0,0,0
695,M00695,H,297.8,308.6,1572.0,36.41,66,0,0,0,0,0,0
696,M00696,M,299.79,309.31,1423.0,45.67,22,0,0,0,0,0,0
697,M00697,M,303.6,307.14,1557.0,33.05,126,0,0,0,0,0,0
698,M00698,M,302.38,309.15,1470.0,65.21,207,0,0,1,1,0,1
699,M00699,M,298.61,310.24,1215.0,48.86,119,0,0,0,0,0,0
700,M00700,L,300.45,309.2,1502.0,53.04,51,0,0,0,0,0,0
701,M00701,L,300.0,309.46,1302.0,47.95,11,0,0,0,0,0,0
702,M00702,L,300.56,309.96,1188.0,58.53,235,1,0,0,0,0,1
703,M00703,L,298.6,308.69,1525.0,32.13,190,0,0,0,0,0,0
704,M00704,H,299.82,311.38,1588.0,14.39,38,0,0,0,0,0,0
705,M00705,L,296.8,312.87,1595.0,35.54,18,0,0,0,0,0,0
706,M00706,M,300.27,309.07,1602.0,45.58,32,0,0,0,0,0,0
707,M00707,M,300.9,310.97,1152.0,41.52,94,0,0,0,0,0,0
708,M00708,M,299.55,309.52,1255.0,42.75,202,0,0,0,0,0,0
709,M00709,L,296.77,310.73,1855.0,53.21,39,0,0,1,0,0,1
710,M00710,L,301.98,313.13,1312.0,43.82,204,0,0,0,0,0,0
